source_app,target_app,source_file,line,imported_symbol,classification,evidence
clientes,facturas,apps\tenant\clientes\services\selectors.py,302,Factura,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
clientes,facturas,apps\tenant\clientes\services\selectors.py,338,Factura,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
clientes,api,apps\tenant\clientes\api\serializers.py,3,NormalizationMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,api,apps\tenant\clientes\api\viewsets.py,16,BaseTenantViewSet,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,api,apps\tenant\clientes\api\viewsets.py,17,"IsTenantMember, IsTenantAdminOrReadOnly",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,api,apps\tenant\clientes\api\viewsets.py,18,"render_template_safe, resolve_tenant_empresa",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,core,apps\tenant\clientes\api\viewsets.py,19,OrganizationalContextMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
clientes,empresa,apps\tenant\clientes\api\viewsets.py,34,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
clientes,facturas,apps\tenant\clientes\api\viewsets.py,917,Factura,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
clientes,api,apps\tenant\clientes\views.py,15,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,core,apps\tenant\compras\models.py,7,"SedeAwareModel, SintelTenantBaseModel",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,empresa,apps\tenant\compras\models.py,8,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
compras,api,apps\tenant\compras\services\api_mixins.py,3,BaseServiceMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,core,apps\tenant\compras\services\api_mixins.py,87,"OrganizationalScope, OrganizationalScopeError",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,core,apps\tenant\compras\services\api_mixins.py,156,"OrganizationalScope, OrganizationalScopeError",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,proveedores,apps\tenant\compras\services\business_service.py,381,CuentasPagarBusinessService,PUSH_CONTROLLED,"llama a CuentasPagarBusinessService de otra app con empresa_id explicito (Service Layer real, no bypass ORM)"
compras,inventario,apps\tenant\compras\services\business_service.py,526,"MovimientoInventario, Producto",CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,inventario,apps\tenant\compras\services\business_service.py,527,KardexService,PUSH_CONTROLLED,"llama a KardexService de otra app con empresa_id explicito (Service Layer real, no bypass ORM)"
compras,proveedores,apps\tenant\compras\services\business_service.py,200,Proveedor,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,empresa,apps\tenant\compras\services\business_service.py,171,Area,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,proyectos,apps\tenant\compras\services\business_service.py,213,Proyecto,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,gastos,apps\tenant\compras\services\business_service.py,228,DocumentoSoporte,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,proveedores,apps\tenant\compras\services\business_service.py,264,Proveedor,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,proyectos,apps\tenant\compras\services\business_service.py,278,Proyecto,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,gastos,apps\tenant\compras\services\business_service.py,294,DocumentoSoporte,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,empresa,apps\tenant\compras\services\business_service.py,316,Area,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,empresa,apps\tenant\compras\services\crud_service.py,16,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
compras,core,apps\tenant\compras\services\selectors.py,3,filter_by_scope,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,empresa,apps\tenant\compras\api\serializers.py,10,Area,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,gastos,apps\tenant\compras\api\serializers.py,11,DocumentoSoporte,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,proveedores,apps\tenant\compras\api\serializers.py,12,Proveedor,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,proyectos,apps\tenant\compras\api\serializers.py,13,Proyecto,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
compras,api,apps\tenant\compras\api\viewsets.py,12,BaseTenantViewSet,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,api,apps\tenant\compras\api\viewsets.py,13,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,api,apps\tenant\compras\api\viewsets.py,14,"HasOrganizationalScope, IsTenantAdminOrReadOnly, IsTenantMember",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,core,apps\tenant\compras\api\viewsets.py,27,OrganizationalContextMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,api,apps\tenant\compras\views.py,15,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
compras,core,apps\tenant\compras\views.py,46,"OrganizationalScope, OrganizationalScopeError",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,core,apps\tenant\contabilidad\models.py,17,SintelTenantBaseModel,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,empresa,apps\tenant\contabilidad\models.py,18,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
contabilidad,api,apps\tenant\contabilidad\services\api_mixins.py,8,BaseServiceMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,empresa,apps\tenant\contabilidad\services\business_service.py,75,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
contabilidad,empresa,apps\tenant\contabilidad\services\business_service.py,695,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
contabilidad,empresa,apps\tenant\contabilidad\services\business_service.py,770,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
contabilidad,empresa,apps\tenant\contabilidad\services\business_service.py,849,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
contabilidad,facturas,apps\tenant\contabilidad\services\selectors.py,403,Factura,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,gastos,apps\tenant\contabilidad\services\selectors.py,420,DocumentoSoporte,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,empleados,apps\tenant\contabilidad\services\selectors.py,438,Devengo,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,inventario,apps\tenant\contabilidad\services\selectors.py,473,get_movimientos_timeline,UNKNOWN,import de apps.tenant.inventario.services.selectors sin patron reconocido - requiere revision manual
contabilidad,facturas,apps\tenant\contabilidad\services\selectors.py,507,Factura,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,gastos,apps\tenant\contabilidad\services\selectors.py,514,DocumentoSoporte,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,empleados,apps\tenant\contabilidad\services\selectors.py,523,Devengo,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,clientes,apps\tenant\contabilidad\services\selectors.py,566,Cliente,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,proveedores,apps\tenant\contabilidad\services\selectors.py,569,Proveedor,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
contabilidad,api,apps\tenant\contabilidad\api\viewsets.py,28,BaseTenantViewSet,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,api,apps\tenant\contabilidad\api\viewsets.py,29,"SintelDSVMixin, SintelServiceMixin",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,api,apps\tenant\contabilidad\api\viewsets.py,30,"IsTenantMember, IsTenantAdminOrReadOnly",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,core,apps\tenant\contabilidad\api\viewsets.py,31,OrganizationalContextMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
contabilidad,api,apps\tenant\contabilidad\views.py,15,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
core,contabilidad,apps\tenant\core\services\contabilidad.py,27,"AsientoContable, CuentaContable, MovimientoContable",PUSH_CONTROLLED,"core/api orquesta AsientoContable CuentaContable MovimientoContable de 'contabilidad' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\empresa.py,28,get_empresa_data,PUSH_CONTROLLED,"core/api orquesta get_empresa_data de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\empresa.py,66,get_empresa_data,PUSH_CONTROLLED,"core/api orquesta get_empresa_data de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\facturas.py,27,Factura,PUSH_CONTROLLED,"core/api orquesta Factura de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,perfil,apps\tenant\core\services\membership.py,67,TenantProfile,PUSH_CONTROLLED,"core/api orquesta TenantProfile de 'perfil' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,dashboard,apps\tenant\core\services\orchestration.py,255,"get_dashboard_redirect_url, get_user_role_in_tenant",PUSH_CONTROLLED,"core/api orquesta get_dashboard_redirect_url get_user_role_in_tenant de 'dashboard' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\orchestration.py,29,get_empresa_data,PUSH_CONTROLLED,"core/api orquesta get_empresa_data de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\orchestration.py,77,Factura,PUSH_CONTROLLED,"core/api orquesta Factura de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,contabilidad,apps\tenant\core\services\orchestration.py,149,"AsientoContable, CuentaContable, MovimientoContable",PUSH_CONTROLLED,"core/api orquesta AsientoContable CuentaContable MovimientoContable de 'contabilidad' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,perfil,apps\tenant\core\services\orchestration.py,214,TenantProfile,PUSH_CONTROLLED,"core/api orquesta TenantProfile de 'perfil' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\organizational_bridges.py,61,CotizacionBridge,PUSH_CONTROLLED,"core/api orquesta CotizacionBridge de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\organizational_bridges.py,66,CotizacionBridge,PUSH_CONTROLLED,"core/api orquesta CotizacionBridge de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\organizational_bridges.py,76,ClienteBridge,PUSH_CONTROLLED,"core/api orquesta ClienteBridge de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\organizational_bridges.py,81,ClienteBridge,PUSH_CONTROLLED,"core/api orquesta ClienteBridge de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\organizational_bridges.py,91,ProveedorBridge,PUSH_CONTROLLED,"core/api orquesta ProveedorBridge de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,facturas,apps\tenant\core\services\organizational_bridges.py,96,ProveedorBridge,PUSH_CONTROLLED,"core/api orquesta ProveedorBridge de 'facturas' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\organizational_context.py,142,Empresa,PUSH_CONTROLLED,"core/api orquesta Empresa de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\organizational_scope.py,154,Empresa,PUSH_CONTROLLED,"core/api orquesta Empresa de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\organizational_service_layer.py,41,"Empresa, Sede",PUSH_CONTROLLED,"core/api orquesta Empresa Sede de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,perfil,apps\tenant\core\services\organizational_service_layer.py,55,TenantProfile,PUSH_CONTROLLED,"core/api orquesta TenantProfile de 'perfil' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,compras,apps\tenant\core\services\organizational_service_layer.py,67,OrdenCompraBusinessService,PUSH_CONTROLLED,"core/api orquesta OrdenCompraBusinessService de 'compras' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,perfil,apps\tenant\core\services\perfil.py,23,TenantProfile,PUSH_CONTROLLED,"core/api orquesta TenantProfile de 'perfil' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\sede_context.py,20,Sede,PUSH_CONTROLLED,"core/api orquesta Sede de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\services\selectors.py,7,Empresa,PUSH_CONTROLLED,"core/api orquesta Empresa de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,api,apps\tenant\core\api\contexto.py,28,IsTenantMember,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
core,empresa,apps\tenant\core\api\contexto.py,91,Sede,PUSH_CONTROLLED,"core/api orquesta Sede de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\api\handlers.py,66,Empresa,PUSH_CONTROLLED,"core/api orquesta Empresa de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\api\handlers.py,140,Empresa,PUSH_CONTROLLED,"core/api orquesta Empresa de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,dashboard,apps\tenant\core\api\viewsets.py,63,IsUserOrHigher,PUSH_CONTROLLED,"core/api orquesta IsUserOrHigher de 'dashboard' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,dashboard,apps\tenant\core\api\viewsets.py,330,get_user_role_in_tenant,PUSH_CONTROLLED,"core/api orquesta get_user_role_in_tenant de 'dashboard' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,empresa,apps\tenant\core\api\viewsets.py,533,Empresa,PUSH_CONTROLLED,"core/api orquesta Empresa de 'empresa' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
core,perfil,apps\tenant\core\api\viewsets.py,534,PerfilBusinessService,PUSH_CONTROLLED,"core/api orquesta PerfilBusinessService de 'perfil' (patron cross-cutting ya establecido - onboarding/auth) - verificar manualmente que la instancia Empresa/objeto se resuelve server-side, no de input de usuario"
cotizaciones,core,apps\tenant\cotizaciones\models.py,10,SintelTenantBaseModel,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,empresa,apps\tenant\cotizaciones\models.py,11,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
cotizaciones,api,apps\tenant\cotizaciones\services\api_mixins.py,8,BaseServiceMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,core,apps\tenant\cotizaciones\services\api_mixins.py,33,"OrganizationalScope, OrganizationalScopeError",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,core,apps\tenant\cotizaciones\services\api_mixins.py,51,"OrganizationalScope, OrganizationalScopeError",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,clientes,apps\tenant\cotizaciones\services\business_service.py,10,Cliente,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
cotizaciones,api,apps\tenant\cotizaciones\services\producto_service.py,8,resolve_tenant_empresa,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,clientes,apps\tenant\cotizaciones\services\selectors.py,6,Cliente,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
cotizaciones,api,apps\tenant\cotizaciones\api\serializers.py,8,resolve_tenant_empresa,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,clientes,apps\tenant\cotizaciones\api\serializers.py,9,Cliente,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
cotizaciones,empresa,apps\tenant\cotizaciones\api\serializers.py,10,Sede,CONTROLLED,"import directo de modelo + filtro empresa_id detectado en el mismo archivo (patron Bounded Context, AGENTS.md §18)"
cotizaciones,core,apps\tenant\cotizaciones\api\serializers.py,153,sede_esta_en_alcance,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,api,apps\tenant\cotizaciones\api\viewsets.py,13,BaseTenantViewSet,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,api,apps\tenant\cotizaciones\api\viewsets.py,14,"IsTenantAdminOrReadOnly, IsTenantMember",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,api,apps\tenant\cotizaciones\api\viewsets.py,15,SintelDSVMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,api,apps\tenant\cotizaciones\api\viewsets.py,16,resolve_tenant_empresa,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,core,apps\tenant\cotizaciones\api\viewsets.py,17,OrganizationalContextMixin,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,api,apps\tenant\cotizaciones\ui_views.py,9,resolve_tenant_empresa,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
cotizaciones,core,apps\tenant\cotizaciones\ui_views.py,10,"OrganizationalScope, OrganizationalScopeError",ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
dashboard,core,apps\tenant\dashboard\models.py,7,SintelTenantBaseModel,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
dashboard,empresa,apps\tenant\dashboard\services\business_service.py,68,EmpresaSelector,CONTROLLED,"importa un Selector de otra app (EmpresaSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,empresa,apps\tenant\dashboard\services\selectors.py,5,Empresa,CONTROLLED,Empresa es el singleton del tenant (no tiene su propio empresa_id) - resolverlo desde otra app es el patron establecido en las 17 apps (SintelDSVMixin._get_empresa())
dashboard,core,apps\tenant\dashboard\services\selectors.py,17,get_user_role,ALLOWED,"app de infraestructura (core/api), permitido por AGENTS.md"
dashboard,clientes,apps\tenant\dashboard\services\extractores\clientes_ext.py,15,ClienteSelector,CONTROLLED,"importa un Selector de otra app (ClienteSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,empleados,apps\tenant\dashboard\services\extractores\empleados_ext.py,17,"NominaSummarySelector, EmpleadoSelector",CONTROLLED,"importa un Selector de otra app (NominaSummarySelector EmpleadoSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,facturas,apps\tenant\dashboard\services\extractores\facturas_ext.py,20,FacturaSelectors,UNKNOWN,import de apps.tenant.facturas.services.selectors sin patron reconocido - requiere revision manual
dashboard,gastos,apps\tenant\dashboard\services\extractores\gastos_ext.py,17,DocumentoSelector,CONTROLLED,"importa un Selector de otra app (DocumentoSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,inventario,apps\tenant\dashboard\services\extractores\inventario_ext.py,21,"ProductoSelector, ActivoFijoSelector, ServicioSelector, MovimientoInventarioSelector",CONTROLLED,"importa un Selector de otra app (ProductoSelector ActivoFijoSelector ServicioSelector MovimientoInventarioSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,proveedores,apps\tenant\dashboard\services\extractores\proveedores_ext.py,14,"ProveedorSelector, CuentasPagarSelector",CONTROLLED,"importa un Selector de otra app (ProveedorSelector CuentasPagarSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,proyectos,apps\tenant\dashboard\services\extractores\proyectos_ext.py,16,qs_list,UNKNOWN,import de apps.tenant.proyectos.services.selectors sin patron reconocido - requiere revision manual
dashboard,empresa,apps\tenant\dashboard\services\extractores\sedes_ext.py,47,SedeSelector,CONTROLLED,"importa un Selector de otra app (SedeSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,facturas,apps\tenant\dashboard\services\extractores\sedes_ext.py,48,FacturaSelectors,UNKNOWN,import de apps.tenant.facturas.services.selectors sin patron reconocido - requiere revision manual
dashboard,gastos,apps\tenant\dashboard\services\extractores\sedes_ext.py,49,DocumentoSelector,CONTROLLED,"importa un Selector de otra app (DocumentoSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,inventario,apps\tenant\dashboard\services\extractores\sedes_ext.py,50,MovimientoInventarioSelector,CONTROLLED,"importa un Selector de otra app (MovimientoInventarioSelector) - mismo patron Bounded Context que import directo de modelo, pero ya encapsula .only()/empresa_id internamente"
dashboard,proyectos,apps\tenant\dashboard\services\extractores\sedes_ext.py,51,qs_list,UNKNOWN,import de apps.tenant.proyectos.services.selectors sin patron reconocido - requiere revision manual
